id,status_group
45786,others
39181,others
60073,functional needs repair
10708,others
60497,others
60650,others
44991,functional needs repair
22027,others
13396,functional needs repair
40096,others
47145,others
35454,others
50044,others
39416,functional needs repair
18346,functional needs repair
30466,others
51331,functional needs repair
58305,others
53802,others
8916,others
35759,functional needs repair
17062,others
71490,others
50975,functional needs repair
8201,others
50986,others
30885,functional needs repair
15400,others
67428,functional needs repair
51579,others
14596,others
12598,others
37812,functional needs repair
21348,others
23437,functional needs repair
63577,functional needs repair
13532,functional needs repair
18005,others
22670,others
385,functional needs repair
9970,others
65345,others
73992,others
70257,others
4031,others
23276,functional needs repair
22931,functional needs repair
17503,others
55901,others
40832,functional needs repair
50910,others
1834,others
61683,others
68167,others
67300,others
67101,functional needs repair
30333,others
6738,others
28262,others
21260,others
18091,functional needs repair
62211,others
21232,others
12978,others
57783,functional needs repair
25215,others
29961,functional needs repair
61529,others
65538,others
47972,functional needs repair
70310,functional needs repair
68781,functional needs repair
66988,others
16690,functional needs repair
57873,others
20929,functional needs repair
54877,others
12499,others
74069,others
34331,functional needs repair
12961,others
17327,others
36291,functional needs repair
26945,others
1772,others
30258,others
53587,others
57131,functional needs repair
36338,others
66103,others
56998,functional needs repair
9346,others
11094,others
23144,others
31946,functional needs repair
18457,others
52914,functional needs repair
39655,functional needs repair
47745,others
5357,others
12531,others
66221,others
40587,functional needs repair
33686,functional needs repair
16567,functional needs repair
25692,functional needs repair
61115,others
65357,functional needs repair
72793,others
22166,others
29891,others
69788,others
71550,functional needs repair
43706,others
49502,others
39787,others
47719,others
23632,others
55636,others
57021,functional needs repair
14117,others
46222,others
12809,functional needs repair
12009,others
694,functional needs repair
20114,others
61524,others
40650,others
66805,others
10401,others
25327,others
47112,others
67471,others
61927,functional needs repair
71395,others
63766,others
63687,others
14104,functional needs repair
31303,others
72538,functional needs repair
26985,functional needs repair
9133,others
42871,functional needs repair
36519,others
61334,others
6765,functional needs repair
17900,others
61945,others
26278,others
61478,others
71235,others
44015,others
41484,others
38535,others
34576,functional needs repair
52366,others
12963,others
13743,others
32311,functional needs repair
51120,others
35484,others
23569,others
33319,functional needs repair
315,others
57320,others
9226,others
72083,functional needs repair
46896,others
69177,others
67375,others
62460,others
37409,others
18442,others
15251,others
46682,others
5348,functional needs repair
21182,functional needs repair
9983,functional needs repair
9767,functional needs repair
11239,others
7302,others
65752,functional needs repair
33457,others
38728,functional needs repair
17535,others
8853,others
13579,others
63269,others
11591,functional needs repair
24313,others
5691,others
62513,functional needs repair
54799,others
48033,others
6636,functional needs repair
8895,others
34396,functional needs repair
13896,functional needs repair
1109,others
73411,others
63032,functional needs repair
69543,others
48089,others
59839,others
43492,others
49328,others
67442,functional needs repair
63140,others
67551,others
8792,functional needs repair
57914,others
60286,others
26396,others
9730,functional needs repair
19201,others
14666,functional needs repair
59498,functional needs repair
18589,functional needs repair
64471,others
62236,others
72456,others
3303,functional needs repair
32384,others
49942,others
55885,others
45581,others
64927,functional needs repair
24273,functional needs repair
40067,others
63931,others
39052,functional needs repair
53962,functional needs repair
56496,functional needs repair
24678,functional needs repair
70850,functional needs repair
11388,others
64962,functional needs repair
49930,others
40964,others
52686,functional needs repair
30683,others
22484,others
57582,others
6017,functional needs repair
18689,others
27554,others
61899,functional needs repair
37109,functional needs repair
72818,others
62410,functional needs repair
62021,functional needs repair
54363,functional needs repair
7592,others
18101,others
33848,functional needs repair
63663,others
71521,others
65922,others
41315,functional needs repair
30015,functional needs repair
35831,others
20129,others
48421,others
6898,others
46045,others
17624,functional needs repair
18682,functional needs repair
44894,functional needs repair
74195,others
4113,others
25156,others
69462,others
20842,others
21776,others
2409,others
38543,others
35527,others
11073,functional needs repair
9258,functional needs repair
21581,functional needs repair
8962,others
49834,functional needs repair
53965,others
73517,others
63761,others
59231,functional needs repair
9411,functional needs repair
2977,functional needs repair
72379,others
23995,others
67844,functional needs repair
47607,functional needs repair
6531,others
17258,others
49372,functional needs repair
58816,others
51811,others
21374,functional needs repair
3256,functional needs repair
32961,functional needs repair
6853,others
45304,functional needs repair
69698,functional needs repair
46769,functional needs repair
9072,others
44091,functional needs repair
55854,others
32129,others
45668,others
40873,others
55492,others
4450,functional needs repair
16187,others
44544,others
2871,others
64494,others
18939,others
1241,others
11131,others
55197,others
35094,others
65523,others
45635,others
8677,others
55819,functional needs repair
38442,functional needs repair
38845,functional needs repair
6612,others
21573,others
39598,others
45710,others
57139,others
66169,others
32541,others
16933,others
40,others
30332,functional needs repair
8308,others
32036,others
23339,others
3963,others
56096,others
55750,others
46474,functional needs repair
44035,others
40508,functional needs repair
17936,others
26145,others
11497,functional needs repair
68608,others
37234,functional needs repair
33591,functional needs repair
17893,others
39879,others
74120,functional needs repair
22082,functional needs repair
29794,others
39724,functional needs repair
72049,others
40322,functional needs repair
24622,others
41612,others
67370,others
59005,others
69514,others
57106,functional needs repair
72078,functional needs repair
27775,functional needs repair
45000,others
52085,others
10037,others
58343,functional needs repair
13467,others
50271,others
2501,others
7930,functional needs repair
56779,others
40371,others
44398,functional needs repair
37173,functional needs repair
58964,others
49998,others
13670,others
61457,others
5942,functional needs repair
39445,others
59541,functional needs repair
24243,others
67795,others
42655,others
68213,functional needs repair
21510,others
45649,functional needs repair
57848,others
21049,others
61562,others
68151,others
11186,others
25675,functional needs repair
61441,functional needs repair
7910,functional needs repair
64668,others
46591,others
22118,others
4713,others
29379,functional needs repair
19664,others
28744,functional needs repair
54086,others
65137,others
59274,others
38212,others
44785,others
55056,others
68607,functional needs repair
22995,functional needs repair
25865,others
49034,others
40002,functional needs repair
19395,others
50691,functional needs repair
9225,others
30746,functional needs repair
57720,others
19605,others
48672,functional needs repair
7788,others
15278,functional needs repair
43089,functional needs repair
34367,others
8765,others
4776,functional needs repair
18675,others
48235,others
67832,functional needs repair
9914,others
60764,others
48737,functional needs repair
11221,others
1581,others
20666,others
5441,others
64372,functional needs repair
20622,functional needs repair
66296,others
71454,others
10067,others
7160,functional needs repair
37076,others
61900,others
51827,functional needs repair
5515,others
51511,others
66794,others
10003,others
37229,functional needs repair
63752,functional needs repair
26293,others
36146,functional needs repair
60143,functional needs repair
12885,others
52774,others
60248,functional needs repair
70436,functional needs repair
48428,others
62201,functional needs repair
20871,others
40703,functional needs repair
39384,others
21725,others
72791,others
54562,functional needs repair
71907,others
62461,functional needs repair
31203,others
52984,functional needs repair
16582,functional needs repair
6040,functional needs repair
66928,others
23987,others
17986,others
41682,others
30107,others
55281,functional needs repair
11036,others
29865,functional needs repair
28708,others
72676,others
11540,others
16426,others
3779,others
22685,others
32142,functional needs repair
19479,functional needs repair
2565,functional needs repair
47747,others
56286,others
53901,others
19176,functional needs repair
57042,others
50932,others
30127,others
10868,others
1537,others
23891,others
23373,others
27784,others
33550,others
16078,functional needs repair
47786,others
2415,others
1377,functional needs repair
13494,functional needs repair
61895,others
69727,others
16917,others
11872,others
20898,others
42049,others
40932,others
69544,others
69635,others
24821,others
18220,functional needs repair
35359,others
28034,functional needs repair
51260,others
13949,others
52318,functional needs repair
56828,others
2826,others
60879,others
17825,functional needs repair
2572,others
62613,others
46056,others
69987,others
55937,functional needs repair
54418,others
34680,functional needs repair
19193,functional needs repair
74033,functional needs repair
60251,others
26500,others
47728,functional needs repair
54679,functional needs repair
73157,functional needs repair
16032,others
5254,functional needs repair
58185,others
25786,functional needs repair
3440,others
12629,others
11133,others
10411,functional needs repair
60631,others
73943,others
64501,others
14292,others
25265,functional needs repair
9545,others
6283,others
3868,others
65791,others
37667,functional needs repair
64508,others
14722,others
4907,others
57070,others
33109,others
62966,others
16884,others
46593,others
27296,functional needs repair
70005,others
31144,others
31714,others
61849,others
39526,others
18073,others
51996,functional needs repair
44605,others
22408,functional needs repair
15854,others
68449,others
35019,others
5280,others
3478,others
43671,others
59382,others
11394,others
39594,others
35455,others
35457,others
68643,others
47203,functional needs repair
57420,others
21028,functional needs repair
30555,others
59832,others
40232,functional needs repair
51490,functional needs repair
21333,others
18474,functional needs repair
2278,others
19203,others
36708,others
64676,others
32807,others
5469,others
6036,others
20445,others
33093,others
45226,functional needs repair
31055,others
56338,functional needs repair
43663,others
46278,others
65377,others
40068,others
1244,others
37586,others
18819,others
12194,others
5351,others
39721,others
10744,others
55620,functional needs repair
58957,functional needs repair
45107,others
54671,others
66079,others
30979,others
43514,functional needs repair
69988,functional needs repair
38975,functional needs repair
39986,functional needs repair
6780,others
17454,functional needs repair
31953,others
42306,functional needs repair
1953,others
39165,functional needs repair
48549,others
42760,functional needs repair
18103,others
57449,functional needs repair
40251,others
14672,others
67371,others
49754,others
52722,others
71421,others
61827,functional needs repair
70628,others
28697,functional needs repair
2428,others
23460,functional needs repair
68490,others
73569,others
32804,functional needs repair
49573,functional needs repair
19959,others
35880,others
5974,functional needs repair
67650,functional needs repair
26818,others
49831,others
22509,others
46423,others
30592,functional needs repair
37097,others
65947,others
57857,functional needs repair
46146,others
31630,functional needs repair
72522,functional needs repair
21876,others
18068,others
73898,others
13434,functional needs repair
58442,others
69855,others
58662,others
14838,others
2783,others
42711,functional needs repair
37717,others
39954,others
61482,others
60218,others
3306,others
20675,functional needs repair
6228,others
29428,functional needs repair
49365,functional needs repair
30777,functional needs repair
50664,functional needs repair
3666,functional needs repair
51908,functional needs repair
67607,others
69267,functional needs repair
32388,others
68905,others
793,others
8459,others
25364,functional needs repair
24919,others
33379,others
5299,others
56652,functional needs repair
66883,others
68832,others
48656,others
64876,functional needs repair
53881,functional needs repair
30034,others
43577,functional needs repair
7358,others
37013,others
13658,others
24626,functional needs repair
39897,others
14668,others
35751,functional needs repair
48747,functional needs repair
22925,functional needs repair
19133,others
31847,others
41654,others
50649,functional needs repair
54194,functional needs repair
19051,others
32603,functional needs repair
26932,others
68653,functional needs repair
57028,others
16107,others
2597,functional needs repair
3265,others
43874,others
21598,functional needs repair
872,functional needs repair
58750,others
65031,functional needs repair
14580,functional needs repair
21163,others
42731,others
30691,others
15141,others
8834,others
23032,others
38778,functional needs repair
54423,others
45790,others
46978,others
56607,others
21751,others
27572,others
63100,functional needs repair
67397,others
35901,others
23216,functional needs repair
12911,others
16811,functional needs repair
36803,others
69968,others
62190,functional needs repair
13996,others
56207,functional needs repair
52893,others
30396,functional needs repair
1908,others
60214,others
22222,functional needs repair
73524,others
10751,functional needs repair
67522,functional needs repair
2631,functional needs repair
71734,functional needs repair
37172,functional needs repair
13978,others
4321,others
16422,functional needs repair
69368,others
34027,others
27897,functional needs repair
20707,functional needs repair
2517,others
23519,others
59673,others
41324,others
52687,others
11058,others
13650,others
5049,functional needs repair
52639,others
59872,others
56772,functional needs repair
39597,functional needs repair
9030,others
45550,others
58580,functional needs repair
28076,others
35871,others
30915,others
43011,functional needs repair
43619,functional needs repair
20214,functional needs repair
73206,others
66395,others
27404,others
12334,functional needs repair
70307,functional needs repair
46871,others
47029,others
11379,others
58108,functional needs repair
1006,others
70306,others
45476,others
18450,others
54045,others
13447,others
24025,others
66910,others
50374,functional needs repair
357,functional needs repair
25129,others
7082,functional needs repair
15245,others
33435,functional needs repair
22465,others
42505,others
15328,others
66845,functional needs repair
12228,functional needs repair
37795,others
71897,others
42070,functional needs repair
31583,functional needs repair
26813,others
13043,others
26393,others
21570,others
12546,functional needs repair
42407,others
33230,functional needs repair
23852,others
30401,others
60342,functional needs repair
68962,others
64322,others
26989,others
24322,functional needs repair
27796,others
26811,others
6384,others
14943,others
33629,others
1008,others
64535,others
26628,functional needs repair
63481,functional needs repair
19972,functional needs repair
11991,others
39822,others
22914,others
25209,functional needs repair
3282,others
34413,others
47325,others
68708,functional needs repair
53627,others
26967,functional needs repair
45223,others
4510,others
58486,others
9033,others
22036,others
5853,others
17524,functional needs repair
44078,others
72536,others
10994,functional needs repair
21040,functional needs repair
27847,functional needs repair
71469,functional needs repair
46847,others
15337,others
70381,functional needs repair
50997,others
48705,others
13229,functional needs repair
54738,others
21147,functional needs repair
59242,functional needs repair
18708,others
65971,functional needs repair
59756,others
15623,others
73425,others
30762,functional needs repair
29788,others
56925,others
10869,others
33681,functional needs repair
62932,others
39431,others
38393,others
9473,functional needs repair
24714,functional needs repair
47198,functional needs repair
44965,functional needs repair
38104,functional needs repair
45664,others
1281,others
69309,others
16798,functional needs repair
4975,functional needs repair
68330,functional needs repair
53910,others
32910,functional needs repair
32060,functional needs repair
23398,others
33757,functional needs repair
27204,others
25375,functional needs repair
69551,others
69072,others
23087,others
14800,others
32748,others
20342,others
18074,others
15173,others
20518,functional needs repair
47731,others
54169,others
70192,functional needs repair
72724,functional needs repair
46050,functional needs repair
28603,others
16712,others
26789,others
53384,functional needs repair
8006,functional needs repair
18991,others
29982,others
49707,functional needs repair
10610,others
35375,others
23058,others
48892,others
61935,others
33335,others
43674,others
9911,functional needs repair
12666,functional needs repair
22355,others
34718,others
10637,others
67244,others
3150,others
18662,others
439,functional needs repair
32179,others
64347,functional needs repair
29337,others
5708,others
28812,others
57462,others
45189,others
34863,others
72199,others
27499,others
6528,functional needs repair
2182,others
23545,functional needs repair
40210,functional needs repair
5574,functional needs repair
29878,functional needs repair
46667,functional needs repair
54421,others
51495,others
24054,others
1239,others
26239,others
36784,others
50862,functional needs repair
61050,others
5144,functional needs repair
3295,others
9796,others
48715,others
60561,others
26786,functional needs repair
72180,functional needs repair
38644,others
24443,functional needs repair
339,functional needs repair
19057,others
49693,others
69589,functional needs repair
29370,others
24152,others
69357,others
22398,others
5981,others
17635,functional needs repair
70735,others
73086,others
33717,functional needs repair
42073,functional needs repair
73609,functional needs repair
35052,others
43951,others
39232,functional needs repair
46690,others
72448,others
72275,others
28974,others
12755,others
58360,functional needs repair
65770,functional needs repair
65601,others
4583,others
7889,others
36671,others
47011,functional needs repair
32772,functional needs repair
34103,others
58362,functional needs repair
15431,others
36286,others
73063,others
72593,others
22656,functional needs repair
39285,others
27447,others
6544,others
37895,others
44122,others
58498,others
46774,functional needs repair
9936,functional needs repair
37158,functional needs repair
28707,functional needs repair
52325,functional needs repair
28397,others
64227,others
26972,others
68466,functional needs repair
62883,others
45237,others
46510,functional needs repair
744,others
17227,others
20571,others
37965,functional needs repair
15751,others
27086,others
56311,functional needs repair
33560,others
30690,others
27599,others
15799,functional needs repair
56321,functional needs repair
70495,functional needs repair
1686,functional needs repair
71465,others
15756,functional needs repair
29111,others
58782,others
50898,others
56403,others
9142,others
17897,functional needs repair
25192,others
33234,others
73984,others
13099,others
57092,functional needs repair
47469,others
10739,others
21245,others
59377,others
25432,others
39248,others
19444,functional needs repair
5388,others
70459,functional needs repair
19723,others
35840,others
68246,others
37535,functional needs repair
8680,functional needs repair
6027,others
2402,functional needs repair
62517,functional needs repair
4159,functional needs repair
70545,others
3661,others
35107,functional needs repair
31246,others
27494,others
3413,functional needs repair
54951,others
6527,functional needs repair
10166,others
39729,others
43437,others
36790,functional needs repair
48231,others
72568,others
57094,others
31738,functional needs repair
9318,functional needs repair
46876,others
71204,others
63582,others
20141,functional needs repair
6551,functional needs repair
52542,others
17881,others
43894,others
25183,functional needs repair
15528,others
22810,functional needs repair
42390,functional needs repair
63554,others
27116,others
70456,others
19809,functional needs repair
64717,others
40323,others
73089,others
68298,others
8053,others
14710,functional needs repair
48144,others
13763,functional needs repair
40069,functional needs repair
57121,others
8620,functional needs repair
59583,others
42459,others
55838,functional needs repair
65446,others
25008,functional needs repair
23322,others
65560,functional needs repair
14073,others
7259,others
61732,others
21551,others
32185,functional needs repair
5404,others
40381,others
62420,functional needs repair
35780,functional needs repair
8712,others
69744,others
37888,others
49053,functional needs repair
38099,others
37249,functional needs repair
16227,others
38708,functional needs repair
66168,others
22296,functional needs repair
28433,others
19417,functional needs repair
46099,others
45672,others
23884,others
25526,others
31099,others
69424,others
43295,others
44740,others
50891,others
4910,functional needs repair
13827,others
70714,others
22868,functional needs repair
63934,others
24638,functional needs repair
24450,functional needs repair
58745,functional needs repair
26434,others
5074,others
11759,functional needs repair
28351,others
4443,others
66132,others
60572,others
1616,functional needs repair
40054,functional needs repair
37556,others
58520,functional needs repair
41925,functional needs repair
63300,others
17843,functional needs repair
8999,functional needs repair
56698,others
64220,functional needs repair
877,functional needs repair
53793,others
67531,others
58699,functional needs repair
17709,others
4543,others
29134,functional needs repair
36377,others
20813,others
11089,others
56116,others
68455,others
23753,others
70984,others
22335,others
8387,functional needs repair
43458,others
14453,others
61490,others
10604,others
11174,functional needs repair
46421,others
55863,others
56604,others
14819,others
39403,others
21443,functional needs repair
14048,others
42240,functional needs repair
49157,functional needs repair
65905,others
35804,functional needs repair
51970,functional needs repair
53942,others
27571,others
33572,others
40516,others
60513,others
638,others
59890,functional needs repair
48710,functional needs repair
20947,others
14632,functional needs repair
66696,others
12596,functional needs repair
25248,functional needs repair
63703,others
53618,others
23585,functional needs repair
26595,functional needs repair
1399,others
53835,others
19811,functional needs repair
49715,others
8464,functional needs repair
66247,others
45232,others
14991,functional needs repair
18561,others
10665,others
71144,others
10478,others
49582,others
72080,others
25662,functional needs repair
34029,functional needs repair
24242,others
2916,others
21031,others
57707,others
7980,others
57066,others
52332,others
24698,others
19020,others
46576,others
54842,others
27640,others
12352,functional needs repair
35287,others
66393,others
39812,others
21820,others
38637,others
16267,functional needs repair
34662,others
37316,others
66671,functional needs repair
10410,others
63433,functional needs repair
20373,others
22139,others
73369,others
37209,others
67936,functional needs repair
34955,others
66717,others
4703,others
11887,others
35343,others
57356,others
25923,others
66183,others
31589,functional needs repair
42311,functional needs repair
29837,others
24270,functional needs repair
20620,others
16287,others
70018,others
48567,others
25576,others
18434,others
71978,others
25374,others
41450,others
1221,functional needs repair
61381,others
64132,functional needs repair
63237,others
19210,others
47062,functional needs repair
49857,others
51216,functional needs repair
61647,others
4896,others
63316,others
34494,others
54069,functional needs repair
38036,others
72839,functional needs repair
12796,others
55,others
7726,others
52885,others
31566,others
72286,functional needs repair
17874,others
70309,functional needs repair
50970,others
1692,functional needs repair
64114,others
61292,others
63453,others
69545,functional needs repair
38806,functional needs repair
71799,others
73084,others
12199,others
24846,functional needs repair
64885,functional needs repair
46262,functional needs repair
9573,functional needs repair
19500,functional needs repair
24943,functional needs repair
28877,others
66908,others
52466,others
69089,others
18331,others
436,others
20619,functional needs repair
55109,others
50756,others
73189,others
50089,functional needs repair
9780,others
53324,others
27331,functional needs repair
9025,others
63907,functional needs repair
46385,others
60440,others
10619,others
33529,others
41449,others
6598,functional needs repair
47541,functional needs repair
23565,others
58127,functional needs repair
63111,others
63560,others
25541,functional needs repair
54905,others
36791,others
61623,functional needs repair
16764,others
18743,others
8742,others
15352,functional needs repair
35314,others
26168,others
67544,others
69774,functional needs repair
28568,functional needs repair
54542,functional needs repair
26355,others
25236,others
47425,functional needs repair
39746,others
56201,others
44620,functional needs repair
54825,functional needs repair
36278,others
62177,functional needs repair
68536,others
60411,others
32156,functional needs repair
20170,functional needs repair
9885,others
39109,others
48829,functional needs repair
31346,others
57044,others
55078,functional needs repair
33747,functional needs repair
20747,others
52801,others
4527,others
18520,others
5621,others
12898,others
16497,others
68845,others
57024,functional needs repair
70003,others
12187,others
40110,functional needs repair
71957,others
30199,functional needs repair
4528,others
18349,others
63856,others
24044,others
9196,functional needs repair
12460,others
68572,functional needs repair
52510,others
71326,others
29237,functional needs repair
73412,others
4480,functional needs repair
10036,functional needs repair
15709,others
30678,functional needs repair
19058,functional needs repair
5364,functional needs repair
22088,functional needs repair
40560,functional needs repair
17647,others
38415,others
37614,others
6431,others
43263,others
12781,functional needs repair
42075,others
66981,others
54940,functional needs repair
41419,functional needs repair
49495,others
51334,others
58089,others
46959,functional needs repair
38289,functional needs repair
651,others
73559,others
30600,functional needs repair
65480,others
8309,others
63795,functional needs repair
8766,functional needs repair
54498,others
38730,others
66960,functional needs repair
71649,others
25288,functional needs repair
7138,others
62305,others
37898,functional needs repair
63072,functional needs repair
26943,others
55042,others
33771,functional needs repair
12469,others
23985,others
29247,others
74133,others
5765,functional needs repair
26351,functional needs repair
40970,others
52759,others
33966,others
47627,functional needs repair
54776,others
71950,others
27283,others
43463,others
70717,others
35177,others
40885,others
37427,others
25340,others
55432,others
49570,others
35542,others
64150,others
2172,functional needs repair
31873,functional needs repair
13278,functional needs repair
9021,others
18657,functional needs repair
69689,functional needs repair
57198,others
28645,functional needs repair
10494,others
42366,others
65731,functional needs repair
37707,others
10532,functional needs repair
67429,functional needs repair
36984,functional needs repair
16971,others
55308,others
59779,others
29374,functional needs repair
41990,others
51937,others
9940,others
70612,functional needs repair
35236,others
49633,others
29909,functional needs repair
45255,others
25593,functional needs repair
4057,functional needs repair
72736,others
39975,others
22416,functional needs repair
36492,others
66793,others
33408,functional needs repair
54451,others
1636,others
67422,others
30630,functional needs repair
63251,others
21367,others
25835,functional needs repair
5009,others
43699,others
24962,others
49263,others
28202,others
46934,others
5340,functional needs repair
32099,others
55915,functional needs repair
70040,others
44297,others
44273,others
45177,others
32710,functional needs repair
62532,functional needs repair
19794,others
18779,functional needs repair
71562,others
49183,functional needs repair
5905,others
73645,others
10066,others
56304,others
13132,functional needs repair
56436,functional needs repair
5421,others
52434,others
54195,functional needs repair
45700,others
42799,others
52920,functional needs repair
61217,functional needs repair
54096,others
4467,others
73734,others
29494,functional needs repair
52806,functional needs repair
12929,others
60556,others
66486,others
11316,functional needs repair
27442,others
19650,functional needs repair
20143,others
52584,others
12221,others
35672,others
47423,functional needs repair
58500,others
68589,functional needs repair
39439,functional needs repair
62175,others
37277,others
29636,functional needs repair
54259,others
48658,functional needs repair
29943,others
43430,others
28289,others
40139,others
32223,others
53991,others
32206,others
61780,functional needs repair
22030,functional needs repair
23971,others
66387,others
1626,others
28890,others
64016,functional needs repair
43446,others
11143,functional needs repair
4088,others
45580,functional needs repair
56404,others
33,others
58798,functional needs repair
61565,others
71101,others
9624,functional needs repair
30330,functional needs repair
71200,others
13761,functional needs repair
12351,functional needs repair
68804,others
30038,functional needs repair
64756,functional needs repair
71350,others
58828,others
57523,others
67746,others
34018,others
25412,others
36723,others
72340,functional needs repair
17645,functional needs repair
71220,others
14433,others
37998,functional needs repair
14316,others
29573,others
61546,others
50025,others
19996,functional needs repair
29258,others
30916,others
22668,others
28718,others
6454,functional needs repair
35437,functional needs repair
13664,functional needs repair
21002,others
56942,others
13007,others
45080,others
56617,others
19868,others
70557,others
67132,others
40825,others
41779,functional needs repair
9375,others
25110,others
49691,others
49471,functional needs repair
33843,functional needs repair
39695,functional needs repair
43056,others
30422,others
4058,functional needs repair
32114,others
71642,others
17144,others
29271,functional needs repair
1604,functional needs repair
54492,others
47192,others
69452,functional needs repair
21713,functional needs repair
40361,others
58598,functional needs repair
31601,others
35670,functional needs repair
45415,functional needs repair
51498,functional needs repair
48482,others
34560,functional needs repair
63373,functional needs repair
11338,others
59510,others
62085,others
51877,others
72675,others
67050,others
59797,functional needs repair
16135,others
66926,others
36076,others
73725,functional needs repair
58932,functional needs repair
59204,others
53230,others
31784,others
34986,others
7898,others
27263,others
31027,others
40993,others
52924,others
55202,others
2071,others
30579,others
